"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"613","2/4/2015","Quarter1","1","Wednesday",11,0.7,10.05,1042,6120,60,0,0,0,53,0.700278846
"631","2/5/2015","Quarter1","1","Thursday",11,0.75,10.05,668,2520,34,0,0,0,26,0.7504
"649","2/7/2015","Quarter1","1","Saturday",11,0.75,10.05,677,3240,45,0,0,0,27,0.750027778
"668","2/8/2015","Quarter2","1","Sunday",11,0.75,10.05,629,3240,45,0,0,0,27,0.750027778
"685","2/9/2015","Quarter2","1","Monday",11,0.75,10.05,103,0,45,0,0,0,54,0.750648148
"704","2/10/2015","Quarter2","1","Tuesday",11,0.8,10.05,13,3240,34,0,0,0,54,0.750648148
"730","2/11/2015","Quarter2","1","Wednesday",11,0.35,11.41,434,3240,0,0,0,1,52,0.507903226
"745","2/12/2015","Quarter2","1","Thursday",11,0.5,11.41,1039,2280,0,0,0,2,55,0.50012336
"762","2/14/2015","Quarter2","1","Saturday",11,0.6,11.41,1039,2280,23,0,0,2,55,0.600447507
"778","2/15/2015","Quarter3","1","Sunday",11,0.65,11.41,700,2640,23,0,0,2,53,0.650223718
"800","2/16/2015","Quarter3","1","Monday",11,0.7,11.41,680,2160,30,0,0,2,54,0.565972222
"814","2/17/2015","Quarter3","1","Tuesday",11,0.7,11.41,1054,3420,30,0,0,2,56,0.700614035
"827","2/18/2015","Quarter3","1","Wednesday",11,0.7,11.41,685,3360,30,0,0,2,56,0.8211125
"855","2/19/2015","Quarter3","1","Thursday",11,0.7,11.41,653,3480,30,0,0,2,58,0.700540441
"877","2/22/2015","Quarter4","1","Sunday",11,0.75,11.41,834,3480,0,0,0,2,58,0.672140805
"894","2/23/2015","Quarter4","1","Monday",11,0.75,11.41,826,2820,0,0,0,2,58,0.750293939
"912","2/24/2015","Quarter4","1","Tuesday",11,0.75,11.61,698,3360,34,0,0,2,57,0.750437269
"932","2/25/2015","Quarter4","1","Wednesday",11,0.75,11.61,635,3360,45,0,0,0,57,0.750503571
"947","2/26/2015","Quarter4","1","Thursday",11,0.8,11.61,816,2820,50,0,0,2,57,0.800516667
"967","2/28/2015","Quarter4","1","Saturday",11,0.8,11.61,954,0,50,0,0,2,58,0.800779018
"997","3/1/2015","Quarter1","1","Sunday",11,0.8,11.61,347,0,50,4,20,0,57,0.682433036
"1012","3/2/2015","Quarter1","1","Monday",11,0.8,11.61,632,0,50,0,0,0,57,0.800309211
"1028","3/3/2015","Quarter1","1","Tuesday",11,0.8,11.41,601,0,50,0,0,0,56,0.800701754
"1054","3/4/2015","Quarter1","1","Wednesday",11,0.8,11.41,433,0,38,0,0,0,56,0.800701754
"1076","3/5/2015","Quarter1","1","Thursday",11,0.8,11.41,455,3420,50,0,0,0,56,0.800701754
"1095","3/7/2015","Quarter1","1","Saturday",11,0.8,11.41,471,3420,50,0,0,0,58,0.800034503
"1118","3/8/2015","Quarter2","1","Sunday",11,0.8,11.41,313,3420,50,0,0,0,58,0.800034503
"1137","3/9/2015","Quarter2","1","Monday",11,0.8,11.41,357,3420,50,0,0,0,58,0.800034503
"1161","3/10/2015","Quarter2","1","Tuesday",11,0.8,11.41,338,3420,50,0,0,0,58,0.800034503
"1181","3/11/2015","Quarter2","1","Wednesday",11,0.8,11.41,560,3420,50,0,0,0,58,0.800034503
